id;name;artists;popularity;year;release_date
3HMOMdRPywfouYx5B4PvaH;Carry the Zero;['Built To Spill'];57;1999;22/01/1999
1UI0l2L66HJ9AtoEOlHzv4;Sometimes;['Britney Spears'];68;1999;12/01/1999
4VSyH8AkIt3kaR5xIPFVVi;Where My Girls At;['702'];59;1999;01/01/1999
0BUoLE4o9eVahDHvTqak67;Unpretty;['TLC'];63;1999;23/02/1999
6fR2T8yJcoOygQddq4JbYB;Mi Eterno Amor Secreto;['Marco Antonio Solís'];65;1999;1999
3x4yV0hW5Ve3TKhFkXSqFn;If You Had My Love;['Jennifer Lopez'];63;1999;01/06/1999
5773KSWFzg9kCc8yazjbSt;Deceptacon;['Le Tigre'];62;1999;26/10/1999
25FTMokYEbEWHEdss5JLZS;Teenage Dirtbag;['Wheatus'];69;1999;15/02/1999
6nwAubYnLGl7F7cDuOoVLp;Quiet Storm;['Mobb Deep'];62;1999;17/08/1999
0EtirusGt3LivUmALXSMVe;Role Model;['Eminem'];63;1999;23/02/1999
3unSYVLOSglxPFNOwYXRA0;Mi Amuleto Eres Tú;['Vagon Chicano'];61;1999;01/01/1999
1YwoYPfhuZlLDbJUH1cKSi;I Put a Spell on You;"[""Screamin' Jay Hawkins""]";57;1999;08/10/1999
6EBZUvwV9xe93KYexS7GJl;Wiggy;['South Park Mexican'];55;1999;23/11/1999
0JFOXqd9N6RlMaAFlaaqFw;Voy a Pintar Mi Raya;['Banda Arkangel R-15'];60;1999;1999
1cjBan0t4eBk2Y5j17hdyf;Bring It All to Me (feat. *NSYNC);['Blaque', '*NSYNC'];57;1999;28/05/1999
4qn3XK6IW2cKjWjSk37t6p;Trashin' The Camp;"[""Rosie O'Donnell"", 'Phil Collins', 'Cast - Tarzan']";59;1999;18/05/1999
2pX4FpOgwItRVPPUFdRcxA;Smooth (feat. Rob Thomas);['Santana', 'Rob Thomas'];63;1999;1999
7uYroF9RRrhRJBrigRvB6H;Summer Girls;['LFO'];58;1999;10/08/1999
51R5mPcJjOnfv9lKY1u5sW;Never Meant;['American Football'];59;1999;1999
4U6mBgGP8FXN6UH4T3AJhu;"Up Where We Belong - From ""An Officer And A Gentleman""";['Joe Cocker', 'Jennifer Warnes'];69;1999;01/01/1999
2MEvYNn2tRvFDAucAtAKVq;Just Don't Give A Fuck;['Eminem'];61;1999;23/02/1999
3gY6tiCNsuVi6s8kPV6aQg;Nas Is Like;['Nas'];65;1999;06/04/1999
3BsaRV5QIulYz2lV9WWa8T;Show Me the Meaning of Being Lonely;['Backstreet Boys'];68;1999;18/05/1999
1Y372uxsCkKqNclj2ercap;17 Años;['Los Ángeles Azules'];63;1999;01/01/1999
21fXrzSxu2y51Yqf57QycI;Happily Ever After;['Case'];54;1999;01/01/1999
7C11GdiguhLd9j7Y6jHFm9;You'll Be In My Heart;['Glenn Close', 'Phil Collins'];60;1999;18/05/1999
4FI0rdztOAYJZMupujL5Gp;Fuck You;['Dr. Dre', 'Devin The Dude', 'Snoop Dogg'];62;1999;16/11/1999
3cYgOAFB1HAUhC7b7U8viI;Porcelain;['Moby'];55;1999;17/05/1999
158DIbrVt4YbqNnWyRCS3P;Hate Me Now (feat. Puff Daddy);['Nas', 'Diddy'];61;1999;06/04/1999
1ZoHRnS5U4m7V5pgvFiK1N;Hey Jealousy;['Gin Blossoms'];56;1999;01/01/1999
5s4catxeZsaWFnOrvrXZHf;That's the Way It Is;['Céline Dion'];64;1999;1999
39sICagGOiysHxoIBRyLLi;My Own Worst Enemy;['Lit'];57;1999;02/03/1999
1DSJNBNhGZCigg9ll5VeZv;(You Drive Me) Crazy;['Britney Spears'];61;1999;12/01/1999
4TGHOWSNAwUXn5onDQr0P1;Street Talkin';['Slick Rick', 'OutKast'];59;1999;01/01/1999
199p1rquWNc5inYj6u8UhW;Amor Sin Palabras;['Los Caminantes'];59;1999;1999
5SlKhaPcdIfSjpoM2QtM4C;Dumpweed;['blink-182'];60;1999;01/06/1999
71J3ktUHU5n0EWAfD7VVFX;Tao, Tao;['Control'];58;1999;01/01/1999
57kdeoYzgGaKzRWj4XM1u8;What These Bitches Want;['DMX', 'Sisqo'];58;1999;21/12/1999
2nww8CKg1BqCh6Eyr6sr6m;Conversation With The Devil;['Ray Wylie Hubbard'];54;1999;20/07/1999
7I1fHMDNlHobS8SBUJAUDt;Turn Your Lights Down Low;['Bob Marley & The Wailers', 'Ms. Lauryn Hill'];62;1999;01/01/1999
51RvCRzeTqoQgdOBgcpHtT;Just Kickin' It;['Xscape'];54;1999;08/10/1999
1mqydO6xMtyTPa8yo1SdVr;Amie;['Pure Prairie League'];54;1999;14/09/1999
2bvO1KXbUd4vySCWGNqIIa;Por Amarte Así;['Cristian Castro'];68;1999;01/05/1999
6PyD9wjBeQB2pFZJl14KsM;Te Quiero Mucho;['Los Rieleros Del Norte'];53;1999;01/01/1999
3Ypnlj9KYSif4Elk7EeHgt;Meeting in My Bedroom;['Silk'];54;1999;1999
0UuMzFglgjKnYuAmkICf1P;La Novelita;['Aventura'];58;1999;1999
1Se0r96r0gnqg67kJPmESc;Parallel Universe;['Red Hot Chili Peppers'];64;1999;08/06/1999
6UGpcXcENaUqQKPc6oqOe4;The Book of Love;['The Magnetic Fields'];59;1999;14/09/1999
1lcaG7worZLgdGuniOfGje;Fruta Fresca;['Carlos Vives'];61;1999;01/01/1999
5Ru9OjtEw5htfnVKpYsIcv;UMI Says;['Mos Def'];58;1999;12/10/1999
4TofVhKSYwFXRtbYo5M3h4;Going Away To College;['blink-182'];58;1999;01/06/1999
3yUcJwYu7fXAfqMj9krY6l;Thank You;['Dido'];70;1999;1999
0msneWUDfYKAGrifwEDhtl;San Francisco Knights;['People Under The Stairs'];56;1999;26/10/1999
6xP5TGWu1GBEHjMBmHRbjT;Hey Leonardo (She Likes Me for Me);['Blessid Union Of Souls'];53;1999;27/04/1999
1iQ5E4z6CJ38dIzvMI9Wdo;The Watcher;"['Dr. Dre', 'Eminem', ""Knoc-Turn'al""]";61;1999;16/11/1999
